Unnamed: 0,Text Type,API Name,File Name,Dataset,ai_score,human_score,Error_message
0,AI,Originality,,AI,1.0,0.0,
1,AI,Originality,,AI,1.0,0.0,
2,AI,Originality,,AI,1.0,0.0,
3,AI,Originality,,AI,1.0,0.0,
4,AI,Originality,,AI,0.9999,9.9999999999989e-05,
5,AI,Originality,,AI,0.9999,9.9999999999989e-05,
6,AI,Originality,,AI,1.0,0.0,
7,AI,Originality,,AI,1.0,0.0,
8,AI,Originality,,AI,1.0,0.0,
9,AI,Originality,,AI,1.0,0.0,
10,AI,Originality,,AI,1.0,0.0,
11,AI,Originality,,AI,0.9999,9.9999999999989e-05,
12,AI,Originality,,AI,1.0,0.0,
13,AI,Originality,,AI,0.9998,0.0001999999999999,
14,AI,Originality,,AI,1.0,0.0,
15,AI,Originality,,AI,1.0,0.0,
16,AI,Originality,,AI,0.9998,0.0001999999999999,
17,AI,Originality,,AI,0.9999,9.9999999999989e-05,
18,AI,Originality,,AI,1.0,0.0,
19,AI,Originality,,AI,1.0,0.0,
20,AI,Originality,,AI,1.0,0.0,
21,AI,Originality,,AI,0.9998,0.0001999999999999,
22,AI,Originality,,AI,1.0,0.0,
23,AI,Originality,,AI,1.0,0.0,
24,AI,Originality,,AI,0.9999,9.9999999999989e-05,
25,AI,Originality,,AI,0.9999,9.9999999999989e-05,
26,AI,Originality,,AI,0.9999,9.9999999999989e-05,
27,AI,Originality,,AI,0.9998,0.0001999999999999,
28,AI,Originality,,AI,0.9998,0.0001999999999999,
29,AI,Originality,,AI,1.0,0.0,
30,AI,Originality,,AI,1.0,0.0,
31,AI,Originality,,AI,0.9999,9.9999999999989e-05,
32,AI,Originality,,AI,1.0,0.0,
33,AI,Originality,,AI,0.9999,9.9999999999989e-05,
34,AI,Originality,,AI,0.9997,0.0002999999999999,
35,AI,Originality,,AI,1.0,0.0,
36,AI,Originality,,AI,0.9999,9.9999999999989e-05,
37,AI,Originality,,AI,1.0,0.0,
38,AI,Originality,,AI,0.9999,9.9999999999989e-05,
39,AI,Originality,,AI,1.0,0.0,
40,AI,Originality,,AI,0.9999,9.9999999999989e-05,
41,AI,Originality,,AI,0.9999,9.9999999999989e-05,
42,AI,Originality,,AI,0.9989,0.0010999999999999,
43,AI,Originality,,AI,0.9998,0.0001999999999999,
44,AI,Originality,,AI,1.0,0.0,
45,AI,Originality,,AI,0.9998,0.0001999999999999,
46,AI,Originality,,AI,1.0,0.0,
47,AI,Originality,,AI,1.0,0.0,
48,AI,Originality,,AI,0.9999,9.9999999999989e-05,
49,AI,Originality,,AI,1.0,0.0,
50,AI,Originality,,AI,1.0,0.0,
51,AI,Originality,,AI,1.0,0.0,
