Text Type,API Name,File Name,Dataset,ai_score,human_score,Error_message
Human,Originality,,USE,0.0002,0.9998,
Human,Originality,,USE,0.0002,0.9998,
Human,Originality,,USE,0.0001,0.9999,
Human,Originality,,USE,0.0002,0.9998,
Human,Originality,,USE,0.0082,0.9918,
Human,Originality,,USE,0.0001,0.9999,
Human,Originality,,USE,0.0004,0.9996,
Human,Originality,,USE,0.0002,0.9998,
Human,Originality,,USE,0.0001,0.9999,
Human,Originality,,USE,0.0001,0.9999,
Human,Originality,,USE,0.0001,0.9999,
Human,Originality,,USE,0.0006,0.9994,
Human,Originality,,USE,0.0003,0.9997,
Human,Originality,,USE,0.0034,0.9966,
Human,Originality,,USE,0.0001,0.9999,
Human,Originality,,USE,0.0127,0.9873,
Human,Originality,,USE,0.0003,0.9997,
Human,Originality,,USE,0.0003,0.9997,
Human,Originality,,USE,0.0001,0.9999,
Human,Originality,,USE,0.0001,0.9999,
Human,Originality,,USE,0.0002,0.9998,
Human,Originality,,USE,0.0004,0.9996,
Human,Originality,,USE,0.0002,0.9998,
Human,Originality,,USE,0.0003,0.9997,
Human,Originality,,USE,0.0149,0.9851,
Human,Originality,,USE,0.0004,0.9996,
Human,Originality,,USE,0.0002,0.9998,
Human,Originality,,USE,0.0011,0.9989,
Human,Originality,,USE,0.0001,0.9999,
Human,Originality,,USE,0.0002,0.9998,
Human,Originality,,USE,0.0016,0.9984,
Human,Originality,,USE,0.0008,0.9992,
Human,Originality,,USE,0.0013,0.9987,
Human,Originality,,USE,0.0004,0.9996,
Human,Originality,,USE,0.0005,0.9995,
Human,Originality,,USE,0.0002,0.9998,
Human,Originality,,USE,0.0004,0.9996,
Human,Originality,,USE,0.0002,0.9998,
Human,Originality,,USE,0.0003,0.9997,
Human,Originality,,USE,0.0006,0.9994,
Human,Originality,,USE,0.0015,0.9985,
Human,Originality,,USE,0.0002,0.9998,
Human,Originality,,USE,0.0002,0.9998,
Human,Originality,,USE,0.0197,0.9803,
Human,Originality,,USE,0.0001,0.9999,
Human,Originality,,USE,0.0004,0.9996,
Human,Originality,,USE,0.0002,0.9998,
Human,Originality,,USE,0.0016,0.9984,
Human,Originality,,USE,0.0102,0.9898,
Human,Originality,,USE,0.0004,0.9996,
Human,Originality,,USE,0.0002,0.9998,
Human,Originality,,USE,0.0002,0.9998,
Human,Originality,,USE,0.0075,0.9925,
Human,Originality,,USE,0.0002,0.9998,
Human,Originality,,USE,0.001,0.999,
Human,Originality,,USE,0.0002,0.9998,
Human,Originality,,USE,0.0003,0.9997,
Human,Originality,,USE,0.0021,0.9979,
Human,Originality,,USE,0.04,0.96,
Human,Originality,,USE,0.0001,0.9999,
Human,Originality,,USE,0.0011,0.9989,
Human,Originality,,USE,0.0007,0.9993,
Human,Originality,,USE,0.0002,0.9998,
Human,Originality,,USE,0.0003,0.9997,
Human,Originality,,USE,0.0002,0.9998,
Human,Originality,,USE,0.0004,0.9996,
Human,Originality,,USE,0.0001,0.9999,
Human,Originality,,USE,0.0001,0.9999,
Human,Originality,,USE,0.0001,0.9999,
Human,Originality,,USE,0.0004,0.9996,
Human,Originality,,USE,0.0002,0.9998,
Human,Originality,,USE,0.0014,0.9986,
Human,Originality,,USE,0.0126,0.9874,
Human,Originality,,USE,0.0002,0.9998,
Human,Originality,,USE,0.0004,0.9996,
Human,Originality,,USE,0.0002,0.9998,
Human,Originality,,USE,0.0128,0.9872,
Human,Originality,,USE,0.0001,0.9999,
Human,Originality,,USE,0.0002,0.9998,
Human,Originality,,USE,0.0002,0.9998,
Human,Originality,,USE,0.0001,0.9999,
Human,Originality,,USE,0.0003,0.9997,
Human,Originality,,USE,0.0001,0.9999,
Human,Originality,,USE,0.0109,0.9891,
Human,Originality,,USE,0.0006,0.9994,
Human,Originality,,USE,0.0002,0.9998,
Human,Originality,,USE,0.0008,0.9992,
Human,Originality,,USE,0.0017,0.9983,
Human,Originality,,USE,0.0024,0.9976,
Human,Originality,,USE,0.0002,0.9998,
Human,Originality,,USE,0.0004,0.9996,
Human,Originality,,USE,0.0001,0.9999,
Human,Originality,,USE,0.0001,0.9999,
Human,Originality,,USE,0.005,0.995,
Human,Originality,,USE,0.0181,0.9819,
Human,Originality,,USE,0.0007,0.9993,
Human,Originality,,USE,0.0002,0.9998,
Human,Originality,,USE,0.0002,0.9998,
Human,Originality,,USE,0.0002,0.9998,
Human,Originality,,USE,0.0002,0.9998,
Human,Originality,,USE,0.0007,0.9993,
Human,Originality,,USE,0.0002,0.9998,
Human,Originality,,USE,0.0096,0.9904,
Human,Originality,,USE,0.0002,0.9998,
Human,Originality,,USE,0.0068,0.9932,
Human,Originality,,USE,0.0005,0.9995,
Human,Originality,,USE,0.0001,0.9999,
Human,Originality,,USE,0.0167,0.9833,
Human,Originality,,USE,0.0004,0.9996,
Human,Originality,,USE,0.0003,0.9997,
Human,Originality,,USE,0.0003,0.9997,
Human,Originality,,USE,0.0001,0.9999,
Human,Originality,,USE,0.005,0.995,
Human,Originality,,USE,0.0004,0.9996,
Human,Originality,,USE,0.0147,0.9853,
Human,Originality,,USE,0.0054,0.9946,
Human,Originality,,USE,0.005,0.995,
Human,Originality,,USE,0.0001,0.9999,
Human,Originality,,USE,0.0088,0.9912,
Human,Originality,,USE,0.0045,0.9955,
Human,Originality,,USE,0.0002,0.9998,
Human,Originality,,USE,0.0002,0.9998,
Human,Originality,,USE,0.0002,0.9998,
Human,Originality,,USE,0.0003,0.9997,
Human,Originality,,USE,0.0002,0.9998,
Human,Originality,,USE,0.0001,0.9999,
Human,Originality,,USE,0.0001,0.9999,
Human,Originality,,USE,0.0002,0.9998,
Human,Originality,,USE,0.0026,0.9974,
Human,Originality,,USE,0.0005,0.9995,
Human,Originality,,USE,0.0002,0.9998,
Human,Originality,,USE,0.0008,0.9992,
Human,Originality,,USE,0.0003,0.9997,
Human,Originality,,USE,0.0057,0.9943,
Human,Originality,,USE,0.0002,0.9998,
Human,Originality,,USE,0.0001,0.9999,
Human,Originality,,USE,0.0009,0.9991,
Human,Originality,,USE,0.0002,0.9998,
Human,Originality,,USE,0.0001,0.9999,
Human,Originality,,USE,0.0002,0.9998,
Human,Originality,,USE,0.0062,0.9938,
Human,Originality,,USE,0.0789,0.9211,
Human,Originality,,USE,0.0001,0.9999,
Human,Originality,,USE,0.0207,0.9793,
Human,Originality,,USE,0.0002,0.9998,
Human,Originality,,USE,0.0001,0.9999,
Human,Originality,,USE,0.0004,0.9996,
Human,Originality,,USE,0.0004,0.9996,
Human,Originality,,USE,0.0004,0.9996,
Human,Originality,,USE,0.0002,0.9998,
Human,Originality,,USE,0.0002,0.9998,
Human,Originality,,USE,0.0001,0.9999,
Human,Originality,,USE,0.0001,0.9999,
Human,Originality,,USE,0.0002,0.9998,
Human,Originality,,USE,0.0002,0.9998,
Human,Originality,,USE,0.001,0.999,
Human,Originality,,USE,0.0002,0.9998,
Human,Originality,,USE,0.02,0.98,
Human,Originality,,USE,0.0006,0.9994,
Human,Originality,,USE,0.0002,0.9998,
Human,Originality,,USE,0.0001,0.9999,
Human,Originality,,USE,0.0026,0.9974,
Human,Originality,,USE,0.0132,0.9868,
Human,Originality,,USE,0.0072,0.9928,
Human,Originality,,USE,0.0001,0.9999,
Human,Originality,,USE,0.0002,0.9998,
Human,Originality,,USE,0.0002,0.9998,
Human,Originality,,USE,0.0046,0.9954,
Human,Originality,,USE,0.0003,0.9997,
Human,Originality,,USE,0.0001,0.9999,
Human,Originality,,USE,0.0004,0.9996,
Human,Originality,,USE,0.0002,0.9998,
Human,Originality,,USE,0.0006,0.9994,
Human,Originality,,USE,0.0044,0.9956,
Human,Originality,,USE,0.0067,0.9933,
Human,Originality,,USE,0.0001,0.9999,
Human,Originality,,USE,0.0001,0.9999,
Human,Originality,,USE,0.0003,0.9997,
Human,Originality,,USE,0.0001,0.9999,
Human,Originality,,USE,0.0002,0.9998,
Human,Originality,,USE,0.0003,0.9997,
Human,Originality,,USE,0.0001,0.9999,
Human,Originality,,USE,0.0001,0.9999,
Human,Originality,,USE,0.0002,0.9998,
Human,Originality,,USE,0.0002,0.9998,
Human,Originality,,USE,0.0002,0.9998,
Human,Originality,,USE,0.0002,0.9998,
Human,Originality,,USE,0.0002,0.9998,
Human,Originality,,USE,0.0002,0.9998,
Human,Originality,,USE,0.0021,0.9979,
Human,Originality,,USE,0.0001,0.9999,
Human,Originality,,USE,0.0002,0.9998,
Human,Originality,,USE,0.0002,0.9998,
Human,Originality,,USE,0.022,0.978,
Human,Originality,,USE,0.0002,0.9998,
Human,Originality,,USE,0.0002,0.9998,
Human,Originality,,USE,0.0002,0.9998,
Human,Originality,,USE,0.0001,0.9999,
Human,Originality,,USE,0.0005,0.9995,
Human,Originality,,USE,0.0184,0.9816,
Human,Originality,,USE,0.0005,0.9995,
Human,Originality,,USE,0.0056,0.9944,
Human,Originality,,USE,0.0006,0.9994,
Human,Originality,,USE,0.0002,0.9998,
Human,Originality,,USE,0.0005,0.9995,
Human,Originality,,USE,0.0003,0.9997,
Human,Originality,,USE,0.0002,0.9998,
Human,Originality,,USE,0.0006,0.9994,
Human,Originality,,USE,0.0004,0.9996,
Human,Originality,,USE,0.0002,0.9998,
Human,Originality,,USE,0.0001,0.9999,
Human,Originality,,USE,0.0001,0.9999,
Human,Originality,,USE,0.0002,0.9998,
Human,Originality,,USE,0.0307,0.9693,
Human,Originality,,USE,0.0002,0.9998,
Human,Originality,,USE,0.0003,0.9997,
Human,Originality,,USE,0.0001,0.9999,
Human,Originality,,USE,0.0001,0.9999,
Human,Originality,,USE,0.0004,0.9996,
Human,Originality,,USE,0.0002,0.9998,
Human,Originality,,USE,0.0001,0.9999,
Human,Originality,,USE,0.0006,0.9994,
Human,Originality,,USE,0.0277,0.9723,
Human,Originality,,USE,0.0016,0.9984,
Human,Originality,,USE,0.0002,0.9998,
Human,Originality,,USE,0.0199,0.9801,
Human,Originality,,USE,0.0003,0.9997,
Human,Originality,,USE,0.0002,0.9998,
Human,Originality,,USE,0.0003,0.9997,
Human,Originality,,USE,0.0001,0.9999,
Human,Originality,,USE,0.0001,0.9999,
Human,Originality,,USE,0.0002,0.9998,
Human,Originality,,USE,0.0011,0.9989,
Human,Originality,,USE,0.0002,0.9998,
Human,Originality,,USE,0.0002,0.9998,
Human,Originality,,USE,0.0017,0.9983,
Human,Originality,,USE,0.0001,0.9999,
Human,Originality,,USE,0.0002,0.9998,
Human,Originality,,USE,0.0002,0.9998,
Human,Originality,,USE,0.0002,0.9998,
Human,Originality,,USE,0.0001,0.9999,
Human,Originality,,USE,0.0026,0.9974,
Human,Originality,,USE,0.0002,0.9998,
Human,Originality,,USE,0.0129,0.9871,
Human,Originality,,USE,0.0003,0.9997,
Human,Originality,,USE,0.0037,0.9963,
Human,Originality,,USE,0.0003,0.9997,
Human,Originality,,USE,0.0004,0.9996,
Human,Originality,,USE,0.0011,0.9989,
Human,Originality,,USE,0.0003,0.9997,
Human,Originality,,USE,0.0002,0.9998,
Human,Originality,,USE,0.0013,0.9987,
Human,Originality,,USE,0.019,0.981,
Human,Originality,,USE,0.0002,0.9998,
Human,Originality,,USE,0.0004,0.9996,
Human,Originality,,USE,0.0001,0.9999,
Human,Originality,,USE,0.0003,0.9997,
Human,Originality,,USE,0.0003,0.9997,
Human,Originality,,USE,0.0051,0.9949,
Human,Originality,,USE,0.0185,0.9815,
Human,Originality,,USE,0.0002,0.9998,
Human,Originality,,USE,0.0002,0.9998,
Human,Originality,,USE,0.0001,0.9999,
Human,Originality,,USE,0.0307,0.9693,
Human,Originality,,USE,0.0003,0.9997,
Human,Originality,,USE,0.0001,0.9999,
Human,Originality,,USE,0.0004,0.9996,
Human,Originality,,USE,0.0002,0.9998,
Human,Originality,,USE,0.0004,0.9996,
Human,Originality,,USE,0.0001,0.9999,
Human,Originality,,USE,0.0005,0.9995,
Human,Originality,,USE,0.0003,0.9997,
Human,Originality,,USE,0.0018,0.9982,
Human,Originality,,USE,0.0022,0.9978,
Human,Originality,,USE,0.0001,0.9999,
Human,Originality,,USE,0.0003,0.9997,
Human,Originality,,USE,0.0001,0.9999,
Human,Originality,,USE,0.0113,0.9887,
Human,Originality,,USE,0.0003,0.9997,
Human,Originality,,USE,0.0001,0.9999,
Human,Originality,,USE,0.0001,0.9999,
Human,Originality,,USE,0.0003,0.9997,
Human,Originality,,USE,0.0018,0.9982,
Human,Originality,,USE,0.0001,0.9999,
Human,Originality,,USE,0.0003,0.9997,
Human,Originality,,USE,0.0233,0.9767,
Human,Originality,,USE,0.0119,0.9881,
Human,Originality,,USE,0.0006,0.9994,
Human,Originality,,USE,0.0001,0.9999,
Human,Originality,,USE,0.0001,0.9999,
Human,Originality,,USE,0.0003,0.9997,
Human,Originality,,USE,0.0079,0.9921,
Human,Originality,,USE,0.0002,0.9998,
Human,Originality,,USE,0.0002,0.9998,
Human,Originality,,USE,0.0002,0.9998,
Human,Originality,,USE,0.0004,0.9996,
Human,Originality,,USE,0.0002,0.9998,
Human,Originality,,USE,0.0002,0.9998,
Human,Originality,,USE,0.0141,0.9859,
Human,Originality,,USE,0.0002,0.9998,
Human,Originality,,USE,0.0033,0.9967,
Human,Originality,,USE,0.0001,0.9999,
Human,Originality,,USE,0.0002,0.9998,
Human,Originality,,USE,0.0003,0.9997,
Human,Originality,,USE,0.0004,0.9996,
Human,Originality,,USE,0.0028,0.9972,
Human,Originality,,USE,0.0006,0.9994,
Human,Originality,,USE,0.0012,0.9988,
Human,Originality,,USE,0.0004,0.9996,
Human,Originality,,USE,0.0002,0.9998,
Human,Originality,,USE,0.0003,0.9997,
Human,Originality,,USE,0.0258,0.9742,
Human,Originality,,USE,0.0002,0.9998,
Human,Originality,,USE,0.0001,0.9999,
Human,Originality,,USE,0.0004,0.9996,
Human,Originality,,USE,0.0003,0.9997,
Human,Originality,,USE,0.0014,0.9986,
Human,Originality,,USE,0.0004,0.9996,
Human,Originality,,USE,0.0001,0.9999,
Human,Originality,,USE,0.0008,0.9992,
Human,Originality,,USE,0.0006,0.9994,
Human,Originality,,USE,0.0003,0.9997,
Human,Originality,,USE,0.0022,0.9978,
Human,Originality,,USE,0.0002,0.9998,
Human,Originality,,USE,0.0047,0.9953,
Human,Originality,,USE,0.0008,0.9992,
Human,Originality,,USE,0.0004,0.9996,
Human,Originality,,USE,0.0002,0.9998,
Human,Originality,,USE,0.0002,0.9998,
Human,Originality,,USE,0.0002,0.9998,
Human,Originality,,USE,0.0002,0.9998,
Human,Originality,,USE,0.0002,0.9998,
Human,Originality,,USE,0.0001,0.9999,
Human,Originality,,USE,0.0003,0.9997,
Human,Originality,,USE,0.0002,0.9998,
AI,Originality,,AI,1.0,0.0,
AI,Originality,,AI,1.0,0.0,
AI,Originality,,AI,1.0,0.0,
AI,Originality,,AI,1.0,0.0,
AI,Originality,,AI,1.0,0.0,
AI,Originality,,AI,1.0,0.0,
AI,Originality,,AI,1.0,0.0,
AI,Originality,,AI,1.0,0.0,
AI,Originality,,AI,1.0,0.0,
AI,Originality,,AI,1.0,0.0,
AI,Originality,,AI,1.0,0.0,
AI,Originality,,AI,1.0,0.0,
AI,Originality,,AI,1.0,0.0,
AI,Originality,,AI,1.0,0.0,
AI,Originality,,AI,1.0,0.0,
AI,Originality,,AI,1.0,0.0,
AI,Originality,,AI,1.0,0.0,
AI,Originality,,AI,1.0,0.0,
AI,Originality,,AI,1.0,0.0,
AI,Originality,,AI,1.0,0.0,
AI,Originality,,AI,1.0,0.0,
AI,Originality,,AI,1.0,0.0,
AI,Originality,,AI,1.0,0.0,
AI,Originality,,AI,1.0,0.0,
AI,Originality,,AI,1.0,0.0,
AI,Originality,,AI,1.0,0.0,
AI,Originality,,AI,1.0,0.0,
AI,Originality,,AI,1.0,0.0,
AI,Originality,,AI,1.0,0.0,
AI,Originality,,AI,1.0,0.0,
AI,Originality,,AI,1.0,0.0,
AI,Originality,,AI,1.0,0.0,
AI,Originality,,AI,1.0,0.0,
AI,Originality,,AI,1.0,0.0,
AI,Originality,,AI,1.0,0.0,
AI,Originality,,AI,1.0,0.0,
AI,Originality,,AI,1.0,0.0,
AI,Originality,,AI,1.0,0.0,
AI,Originality,,AI,1.0,0.0,
AI,Originality,,AI,1.0,0.0,
AI,Originality,,AI,1.0,0.0,
AI,Originality,,AI,1.0,0.0,
AI,Originality,,AI,1.0,0.0,
AI,Originality,,AI,1.0,0.0,
AI,Originality,,AI,1.0,0.0,
AI,Originality,,AI,1.0,0.0,
AI,Originality,,AI,1.0,0.0,
AI,Originality,,AI,1.0,0.0,
AI,Originality,,AI,1.0,0.0,
AI,Originality,,AI,1.0,0.0,
AI,Originality,,AI,1.0,0.0,
AI,Originality,,AI,1.0,0.0,
AI,Originality,,AI,1.0,0.0,
AI,Originality,,AI,1.0,0.0,
AI,Originality,,AI,1.0,0.0,
AI,Originality,,AI,1.0,0.0,
AI,Originality,,AI,1.0,0.0,
AI,Originality,,AI,1.0,0.0,
AI,Originality,,AI,1.0,0.0,
AI,Originality,,AI,1.0,0.0,
AI,Originality,,AI,1.0,0.0,
AI,Originality,,AI,1.0,0.0,
AI,Originality,,AI,1.0,0.0,
AI,Originality,,AI,1.0,0.0,
AI,Originality,,AI,1.0,0.0,
AI,Originality,,AI,1.0,0.0,
AI,Originality,,AI,1.0,0.0,
AI,Originality,,AI,1.0,0.0,
AI,Originality,,AI,1.0,0.0,
AI,Originality,,AI,1.0,0.0,
AI,Originality,,AI,1.0,0.0,
AI,Originality,,AI,1.0,0.0,
AI,Originality,,AI,1.0,0.0,
AI,Originality,,AI,1.0,0.0,
AI,Originality,,AI,1.0,0.0,
AI,Originality,,AI,1.0,0.0,
AI,Originality,,AI,1.0,0.0,
AI,Originality,,AI,1.0,0.0,
AI,Originality,,AI,1.0,0.0,
AI,Originality,,AI,1.0,0.0,
AI,Originality,,AI,1.0,0.0,
AI,Originality,,AI,1.0,0.0,
AI,Originality,,AI,1.0,0.0,
AI,Originality,,AI,1.0,0.0,
AI,Originality,,AI,1.0,0.0,
AI,Originality,,AI,1.0,0.0,
AI,Originality,,AI,1.0,0.0,
AI,Originality,,AI,1.0,0.0,
AI,Originality,,AI,1.0,0.0,
AI,Originality,,AI,1.0,0.0,
AI,Originality,,AI,1.0,0.0,
AI,Originality,,AI,1.0,0.0,
AI,Originality,,AI,1.0,0.0,
AI,Originality,,AI,1.0,0.0,
AI,Originality,,AI,1.0,0.0,
AI,Originality,,AI,1.0,0.0,
AI,Originality,,AI,1.0,0.0,
AI,Originality,,AI,1.0,0.0,
AI,Originality,,AI,1.0,0.0,
AI,Originality,,AI,1.0,0.0,
AI,Originality,,AI,1.0,0.0,
AI,Originality,,AI,1.0,0.0,
AI,Originality,,AI,1.0,0.0,
AI,Originality,,AI,1.0,0.0,
AI,Originality,,AI,1.0,0.0,
AI,Originality,,AI,1.0,0.0,
AI,Originality,,AI,1.0,0.0,
AI,Originality,,AI,1.0,0.0,
AI,Originality,,AI,1.0,0.0,
AI,Originality,,AI,1.0,0.0,
AI,Originality,,AI,1.0,0.0,
AI,Originality,,AI,1.0,0.0,
AI,Originality,,AI,1.0,0.0,
AI,Originality,,AI,1.0,0.0,
AI,Originality,,AI,1.0,0.0,
AI,Originality,,AI,1.0,0.0,
AI,Originality,,AI,1.0,0.0,
AI,Originality,,AI,1.0,0.0,
AI,Originality,,AI,1.0,0.0,
AI,Originality,,AI,1.0,0.0,
AI,Originality,,AI,1.0,0.0,
AI,Originality,,AI,1.0,0.0,
AI,Originality,,AI,1.0,0.0,
AI,Originality,,AI,1.0,0.0,
AI,Originality,,AI,1.0,0.0,
AI,Originality,,AI,1.0,0.0,
AI,Originality,,AI,1.0,0.0,
AI,Originality,,AI,1.0,0.0,
AI,Originality,,AI,1.0,0.0,
AI,Originality,,AI,1.0,0.0,
AI,Originality,,AI,1.0,0.0,
AI,Originality,,AI,1.0,0.0,
AI,Originality,,AI,1.0,0.0,
AI,Originality,,AI,1.0,0.0,
AI,Originality,,AI,1.0,0.0,
AI,Originality,,AI,1.0,0.0,
AI,Originality,,AI,1.0,0.0,
AI,Originality,,AI,1.0,0.0,
AI,Originality,,AI,1.0,0.0,
AI,Originality,,AI,1.0,0.0,
